shipment_id,customer_id,driver_id,origin_city,origin_state,destination_city,destination_state,created_at,pickup_datetime,delivered_datetime,status,distance_km,weight_kg,volume_m3,base_cost_mxn,fuel_surcharge_mxn,total_cost_mxn,on_time_flag,damage_flag,tracking_events_count,notes
S0000001,C00593,D00145,Aguascalientes,AGS,San Luis Potosí,SLP,,2025/10/13 07:15,2025-10-13 23:36:38.435150,delivered,775.53,"615,10",1.19,"MXN 18.653,50",,"20,725.92",TRUE,FALSE,8,Falta firma en POD.
S0000002,C00023,D00046,Toluca,MEX,Querétaro,QRO,2024-02-02 14:42:14,2024-02-04 09:50:14,2024-02-04 19:38:11.154979,Delivered,665.15 km,"$ 1,577.98",4.68 m3,"MXN 18,647.45","MXN 1.477,10","20,124.55",TRUE,No,1,Temperatura controlada.
S0000003,C00810,D00170,Monterrey,NL,Tijuana,BCN,2026-03-01 02:29:49,2026-03-02 03:17:49,2026-03-02 13:50:38.090280,DELIVERED , 691.27 ,"MXN 169,32",$ 3.10,"16,396.12","1,918.33","18.314,45",No,FALSE,11,Sin incidencias.
S0000004,C00377,D00206,Tampico,TAM,Aguascalientes,AGS,2025/02/28 02:54,2025-03-01 02:55:12,01/03/2025 09:52,entregado,351.58,"$ 1,245.69", 0.35 ,7895,"1,005.83","8.900,39",TRUE,Si,6,
S0000005,C00776,D00168,CDMX,CDMX,Villahermosa,TAB,2024-08-19,20/08/2024 22:50,2024-08-21 10:23:49.054397,DELIVERED,472.86 km,$ 735.28,1.09,"11,711.42",1413,13124,TRUE,1,7,Se reprogramó entrega.
S0000006,C00158,D00244,Aguascalientes,AGS,Hermosillo,SON,2025/08/15 08:35,2025-08-15 22:00:11,2025-08-16 03:55:51.117656,entregado,$ 235.91,,3.05 m3,"5,897.49", 655.33 ,"6,552.82",0,Si,9,Falta firma en POD.
S0000007,C00134,D00223,Tijuana,BCN,Aguascalientes,AGS,2025-11-02 09:36:32,2025-11-04 07:18:32,04-11-2025 09:57:27,DELIVERED ,"124,42",838,4,"3.547,12",407,3954,Y,Si,7,
S0000008,C00188,D00179,Culiacán,SIN,Querétaro,QRO,2025-09-03 08:39:23,2025/09/05 04:41,2025-09-05 13:41:52.010729,DELIVERED ,482.49,"2,060.70",,,"MXN 1.620,31","13.775,32",N,1,1,
S0000009,C00140,D00084,Cancún,ROO,Villahermosa,TAB,2025-12-17 16:38:08,,18/12/2025 01:06,delivered,263.64,MXN 904.82,MXN 3.87,"5.898,65","751,05",,,N,9,Falta firma en POD.
S0000010,C00205,D00024,CDMX,CDMX,Cancún,ROO,2024/02/13 09:50,2024/02/13 10:11,2024-02-13 20:57:23.229341,Delivered,528.41,"31,77",1.69,"14,890.42","1.888,56","16.778,98",0,TRUE,1,Incidencia: retraso por tráfico.
S0000011,C00224,D00106,San Luis Potosí,SLP,Villahermosa,TAB,,2024-06-09 01:27:08,2024-06-09 07:28:25.949448,DELIVERED ,"547,46",$ 444.98,"MXN 1,90","MXN 11.545,13",992,12537,1,No,13,Falta firma en POD.
S0000012,C00658,D00010,Mérida,YUC,Tampico,TAM,2025-05-25 14:26:45,2025-05-25 22:43:45,2025-05-26 01:55:30,DELIVERED ,247.46 km,"1,811.57",$ 3.51,"6,933.37", 866.79 ,,N,Y,4,
S0000013,C00210,D00061,Villahermosa,TAB,Monterrey,NL,2025-10-24 03:22:19,2025-10-26 01:51:19,2025/10/26 09:44,DELIVERED ,,"42,08", 4.50 ,6094, 504.71 ,"$ 6,598.23",TRUE,TRUE,6,Prioridad alta.
S0000014,C00493,D00019,Aguascalientes,AGS,Puebla,PUE,29/12/2025 23:13,2025-12-30 11:22:27,2025-12-31 02:03:41,Delivered,799.97,822.38 kg,"1,60"," 20,735.48 ",1915,"22,650.70",FALSE,Si,9,
S0000015,C00249,D00123,Guadalajara,JAL,Chihuahua,CHH,2024/02/13 21:27,2024-02-15 18:09:46,2024/02/15 22:47,entregado,MXN 315.33," 1,949.20 ",MXN 2.24," 8,238.91 ", 891.22 ,"9,130.13",FALSE,TRUE,13,
S0000016,C00408,D00179,San Luis Potosí,SLP,CDMX,CDMX,2024-09-18 14:21:29,2024-09-19 21:21:29,20-09-2024 08:04:19,Delivered,"449,25"," 1,441.43 ",4.13 m3,"MXN 10,396.61",982.23,"11.378,84",TRUE,,9,Temperatura controlada.
S0000017,C00689,D00195,Querétaro,QRO,CDMX,CDMX,2024-04-04 20:21:00,2024/04/05 14:09,2024-04-06 02:43:56.405222,DELIVERED ,"732,71",,"5,38","13.882,60","1,712.32","15,594.93",Y,,10,Falta firma en POD.
S0000018,C00378,D00116,Tampico,TAM,Morelia,MICH,2025-10-03 18:28:32,05-10-2025 12:40:32,05-10-2025 22:08:06,DELIVERED,379,"866,82",7.02,"8,708.37","1,131.00","MXN 9,839.37",0,No,5,Incidencia: retraso por tráfico.
S0000019,C00494,D00170,Morelia,MICH,Mérida,YUC,13/01/2025 00:58,2025-01-13 14:08:09,2025-01-13 19:14:58.920746,Delivered, 426.60 ,2018,"MXN 1,45",10249,746,"10.995,68",Si,N,7,Incidencia: retraso por tráfico.
S0000020,C00092,D00088,Culiacán,SIN,Tijuana,BCN,29/06/2024 08:45,,2024-07-01 03:03:08.865487,DELIVERED ,"265,58",1223,"4,30","7,189.56",$ 770.76,"7.960,32",1,TRUE,10,
S0000021,C00281,D00218,Culiacán,SIN,Tampico,TAM,2024-12-01 02:04:03,02-12-2024 09:22:03,02-12-2024 14:13:13,entregado,359.21 km,731.01 kg,"0,10","8.450,59",,9100,N,Si,6,Prioridad alta.
S0000022,C00887,D00207,Guadalajara,JAL,Aguascalientes,AGS,2025-12-11 18:02:52,13/12/2025 11:12,13/12/2025 15:52,DELIVERED,351.18, 548.02 ,4.57,," 1,225.89 ","MXN 11,084.42",Si,0,12,Prioridad alta.
S0000023,C00177,D00168,Chihuahua,CHH,Monterrey,NL,2025/12/21 07:00,2025-12-23,2025-12-23 09:42:56.882247,DELIVERED,"369,48",500, 1.21 ,"7,397.82",733.40,8131,No,,12,Incidencia: retraso por tráfico.
S0000024,C00772,D00193,Tijuana,BCN,Querétaro,QRO,2024-10-07 15:38:54,,2024-10-09 15:44:45.933983,entregado,," 1,540.46 ", 5.00 ,"9.206,26",704.26,"9,910.52",FALSE,FALSE,11,Incidencia: retraso por tráfico.
S0000025,C00679,D00210,Guadalajara,JAL,Toluca,MEX,27-02-2024 01:32:27,27/02/2024 13:41,2024/02/27 22:14,entregado, 292.18 ,"$ 1,428.92","5,72","MXN 7,409.02",657.37,"8,066.39",Si,N,9,Incidencia: retraso por tráfico.
S0000026,C00701,D00141,Hermosillo,SON,Monterrey,NL,26-05-2025 15:20:16,28-05-2025 07:25:16,2025-05-28 15:23:03.106322,delivered, 496.02 ,"MXN 1,260.29",0.10," 13,634.92 ","828,85","14.463,78",Si,Y,14,
S0000027,C00731,D00040,Puebla,PUE,León,GTO,2025-08-11 10:42:44,12/08/2025 23:29,2025-08-13 10:09:45.224069,entregado,366.35 km,"271,82",4.70,,995," 9,700.40 ",1,TRUE,3,Cliente pidió entrega en recepción.
S0000028,C00435,D00174,Villahermosa,TAB,Puebla,PUE,2026-01-15 02:52:11,2026-01-16 10:24:11,2026/01/16 18:21,DELIVERED,MXN 496.96, 22.13 ,3.63 m3,"9,823.94",,10563,1,Si,6,
S0000029,C00347,D00234,Mérida,YUC,Culiacán,SIN,02/07/2024 02:20,2024/07/02 20:39,2024-07-03 01:19:24.586485,Delivered,-248.43 km,,1.10 m3,"6,545.57",876.09," 7,421.66 ",No,,1,Temperatura controlada.
S0000030,C00405,D00096,San Luis Potosí,SLP,Chihuahua,CHH,27/10/2025 09:43,2025-10-27 21:17:38,2025-10-28 04:25:52,DELIVERED , 374.65 , 583.42 ,1.60,"10,243.53",904.49,"$ 11,148.02",Si,Si,8,
S0000031,C00812,D00006,Puebla,PUE,León,GTO,2025-06-18 13:44:38,2025-06-19 21:44:38,20-06-2025 04:23:10,Delivered,437.62 km,396,4.23,10259,"$ 1,220.78"," 11,479.88 ",Y,Y,1,Falta firma en POD.
S0000032,C00150,D00110,CDMX,CDMX,Mérida,YUC,,21/05/2024 09:43,2024-05-21 16:39:58,entregado,452.86,"1,132.35 kg", 0.34 ,"9,668.04",950.71," 10,618.75 ",TRUE,1,6,
S0000033,C00134,D00085,Veracruz,VER,Chihuahua,CHH,2025-07-31 05:57:52,31-07-2025 21:38:52,01/08/2025 06:46,Delivered,,"2,374.49",$ 4.97," 7,763.97 ", 839.65 ," 8,603.62 ",FALSE,0,12,Sin incidencias.
S0000034,C00537,D00239,Villahermosa,TAB,CDMX,CDMX,2024/09/16 07:47,2024-09-17 22:04:33,2024-09-18 00:29:23.362118,Delivered,,"MXN 552,25", 3.37 ,"4,312.40",498.10,4810,N,TRUE,2,Cliente pidió entrega en recepción.
S0000035,C00547,D00061,San Luis Potosí,SLP,Guadalajara,JAL,2024-08-18 03:02:23,2024-08-18 21:01:23,2024-08-19 12:49:42.569569,DELIVERED,720,"1,496.66", 5.62 ,"20,910.30"," 1,605.86 ","22,516.17",0,Si,1,Prioridad alta.
