customer_id,company_name,industry,city,state,country,contract_tier,contract_start_date
C00001,Industrias Express SAPI,Alimentos,Querétaro,QRO,MX,Estándar,2023-02-21
C00002,Logística Azteca SA de CV,Manufactura,Morelia,MICH,MX,Básico,2023-06-28
C00003,Distribuidora Global SAS,Farmacéutica,Villahermosa,TAB,MX,Estándar,2023-02-24
C00004,Comercializadora Pacífico SRL,E-commerce,Toluca,MEX,MX,Básico,2023-01-14
C00005,Transportes Pacífico SA de CV,Automotriz,Aguascalientes,AGS,MX,Premium,2023-07-29
C00006,Almacenes Global SA de CV,Construcción,Toluca,MEX,MX,Básico,2023-03-30
C00007,Distribuidora Del Norte SA de CV,Farmacéutica,San Luis Potosí,SLP,MX,Estándar,2025-01-10
C00008,Transportes Pacífico SRL,Electrónica,Monterrey,NL,MX,Estándar,2024-04-21
C00009,Servicios Oriente SAPI,E-commerce,Veracruz,VER,MX,Estándar,2023-11-30
C00010,Distribuidora Integral SAS,Construcción,Monterrey,NL,MX,Básico,2023-12-17
C00011,Servicios Azteca SAPI,Retail,Morelia,MICH,MX,Premium,2024-03-25
C00012,Transportes Express SRL,Farmacéutica,Chihuahua,CHH,MX,Estándar,2024-07-02
C00013,Comercializadora Sigma SAPI,Farmacéutica,Chihuahua,CHH,MX,Estándar,2025-07-28
C00014,Logística Fénix SAS,Automotriz,Morelia,MICH,MX,Básico,2024-06-22
C00015,Almacenes Del Norte SA de CV,Manufactura,Puebla,PUE,MX,Básico,2025-11-09
C00016,Transportes Pacífico SAS,Electrónica,León,GTO,MX,Estándar,2025-05-14
C00017,Transportes Global SRL,Automotriz,Morelia,MICH,MX,Básico,2023-01-24
C00018,Almacenes Azteca SRL,Alimentos,Hermosillo,SON,MX,Estándar,2023-11-20
C00019,Distribuidora Integral SRL,Alimentos,Querétaro,QRO,MX,Estándar,2024-09-03
C00020,Servicios Centro SA de CV,Manufactura,Villahermosa,TAB,MX,Premium,2023-01-02
C00021,Grupo Express SA de CV,Manufactura,San Luis Potosí,SLP,MX,Estándar,2024-05-05
C00022,Comercializadora Integral SAS,Alimentos,Monterrey,NL,MX,Básico,2025-12-26
C00023,Distribuidora Sigma SAS,Automotriz,Hermosillo,SON,MX,Estándar,2024-03-09
C00024,Transportes Express SAPI,Manufactura,Villahermosa,TAB,MX,Básico,2025-07-13
C00025,Distribuidora Azteca SA de CV,Retail,Culiacán,SIN,MX,Básico,2024-04-16
C00026,Transportes Global SAPI,E-commerce,Guadalajara,JAL,MX,Estándar,2024-11-07
C00027,Comercializadora Fénix SAS,Farmacéutica,Tijuana,BCN,MX,Estándar,2026-01-09
C00028,Transportes Del Norte SAS,Automotriz,Hermosillo,SON,MX,Estándar,2024-01-25
C00029,Transportes Azteca SAS,Automotriz,Cancún,ROO,MX,Premium,2023-04-21
C00030,Distribuidora Express SAS,Alimentos,Querétaro,QRO,MX,Estándar,2024-05-24
C00031,Distribuidora Del Norte SAS,Manufactura,Toluca,MEX,MX,Básico,2025-08-05
C00032,Transportes Express SAPI,Construcción,Morelia,MICH,MX,Estándar,2023-01-31
C00033,Grupo Integral SAS,Retail,Tijuana,BCN,MX,Premium,2025-04-01
C00034,Industrias Pacífico SAS,Alimentos,Toluca,MEX,MX,Básico,2025-07-20
C00035,Grupo Oriente SA de CV,Retail,Tijuana,BCN,MX,Estándar,2023-04-30
C00036,Comercializadora Azteca SA de CV,Alimentos,Villahermosa,TAB,MX,Básico,2025-12-23
C00037,Logística Del Norte SAPI,Retail,Monterrey,NL,MX,Estándar,2024-04-26
C00038,Servicios Sigma SAPI,Automotriz,Hermosillo,SON,MX,Básico,2025-12-06
C00039,Industrias Centro SRL,Manufactura,Chihuahua,CHH,MX,Básico,2023-09-26
C00040,Transportes Global SAPI,E-commerce,Culiacán,SIN,MX,Básico,2023-07-24
C00041,Distribuidora Oriente SRL,Alimentos,Veracruz,VER,MX,Estándar,2023-05-21
C00042,Grupo Global SRL,Manufactura,Morelia,MICH,MX,Premium,2024-09-11
C00043,Transportes Del Norte SAPI,E-commerce,Puebla,PUE,MX,Básico,2024-06-25
C00044,Distribuidora Sigma SAS,E-commerce,Tijuana,BCN,MX,Premium,2024-12-03
C00045,Logística Sigma SA de CV,Retail,Guadalajara,JAL,MX,Básico,2023-07-09
C00046,Comercializadora Centro SAS,Retail,Puebla,PUE,MX,Básico,2024-06-20
C00047,Grupo Oriente SAPI,Construcción,Puebla,PUE,MX,Básico,2026-01-22
C00048,Grupo Oriente SAPI,Farmacéutica,San Luis Potosí,SLP,MX,Estándar,2025-01-16
C00049,Comercializadora Express SAPI,Alimentos,Veracruz,VER,MX,Premium,2025-04-12
C00050,Servicios Pacífico SAPI,E-commerce,CDMX,CDMX,MX,Básico,2024-01-03
